Item #,Description,Bottle Size,Vintage,Vendor,Case Size,Pack Qty,Unit Price,Pack Price,Case Price,Current Inventory On Hand,Item Unit Cost,Item Case Cost,UPC data
685,ABSOLUT VODKA,375ML,,GAFY,24,1,16.69,0,0,19,11.6921,280.61,835229000209
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,8043210675
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,8043290106
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,8043290106
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,8043290106
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,8043210675
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,80432113691
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,80432113691
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,80432113691
677,ABSOLUT VODKA,1L,,GAFY,12,1,30.99,0,0,14,20.7483,248.98,6804037111
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,80432000311
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,80432000311
677,ABSOLUT VODKA,1L,,GAFY,12,1,30.99,0,0,14,20.7483,248.98,3522901012
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,3522901015
685,ABSOLUT VODKA,375ML,,GAFY,24,1,16.69,0,0,19,11.6921,280.61,8144037181
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,3522901015
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,3522901015
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,80432000311
680,ABSOLUT VODKA,1.75L,,GAFY,6,1,35.99,0,0,71,29.09,174.54,871700
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,8144037131
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,8144037131
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,8144037131
685,ABSOLUT VODKA,375ML,,GAFY,24,1,16.69,0,0,19,11.6921,280.61,871730
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,871720
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,871720
678,ABSOLUT VODKA,750ML,,GAFY,12,1,24.99,0,0,25,17.09,205.08,871720
677,ABSOLUT VODKA,1L,,GAFY,12,1,30.99,0,0,14,20.7483,248.98,871710
684,ABSOLUT VODKA 80,50ML,,GAFY,120,1,2.99,0,0,84,1.91,229.2,8144037161
684,ABSOLUT VODKA 80,50ML,,GAFY,120,1,2.99,0,0,84,1.91,229.2,835229000001
1767,ABSOLUT VODKA 80,200ML,,GAFY,24,1,9.99,0,0,16,6.49,155.76,835229000100
1767,ABSOLUT VODKA 80,200ML,,GAFY,24,1,9.99,0,0,16,6.49,155.76,8144037151
684,ABSOLUT VODKA 80,50ML,,GAFY,120,1,2.99,0,0,84,1.91,229.2,871750
1767,ABSOLUT VODKA 80,200ML,,GAFY,24,1,9.99,0,0,16,6.49,155.76,871740
684,ABSOLUT VODKA 80,50ML,,GAFY,120,1,2.99,0,0,84,1.91,229.2,3522900067
1668,ABSOLUT VODKA CITRON,375ML,,ALAL,24,1,17.29,0,0,7,12.89,309.36,871820
4802,ABSOLUT VODKA CITRON,50ML,,GAFY,120,1,2.79,0,0,0,1.855,222.6,871840
755,ABSOLUT VODKA CITRON,1.75L,,ALAL,6,1,36.99,0,0,2,29.09,174.54,835229001602
1668,ABSOLUT VODKA CITRON,375ML,,ALAL,24,1,17.29,0,0,7,12.89,309.36,871820
1668,ABSOLUT VODKA CITRON,375ML,,ALAL,24,1,17.29,0,0,7,12.89,309.36,835229001206
4802,ABSOLUT VODKA CITRON,50ML,,GAFY,120,1,2.79,0,0,0,1.855,222.6,835229001008
687,ABSOLUT VODKA CITRON,750ML,,GAFY,12,1,24.99,0,0,2,17.09,205.08,835229001305
1668,ABSOLUT VODKA CITRON,375ML,,ALAL,24,1,17.29,0,0,7,12.89,309.36,835229001206
687,ABSOLUT VODKA CITRON,750ML,,GAFY,12,1,24.99,0,0,2,17.09,205.08,871810
4372,ABSOLUT VODKA GRAPEFRUIT,1L,,ALAL,12,1,27.99,0,0,0,5.67,68.04,835229010444
